Sl. No.,Company Name,Finance_Year,Ownership Type,Incorporation Year,Sales-Total Revenue,DICOP -Direct Indirect Cost of Production,VAE-Value Added Expenditure,OP-Operating Profit,TC-Total Cost,GP-Gross Profit,Arms Length Price/Transfer Price Indicator,Other Operating Income/Sales,Advertising & Marketing Sales
3162,Reliance Aromatics & Petrochemicals Ltd.,201503,Indian Private Sector,1993,0.02,0.02,0.00,0.00,0.02,0.00,0%,,0%
3163,Reliance Brands Ltd.,201503,Indian Private Sector,2007,182.89,80.45,120.56,-18.12,201.01,102.44,-10%,0,45%
3164,Reliance Capital Ltd.,201503,Indian Private Sector,1986,217.00,3.00,678.00,-464.00,681.00,214.00,-214%,,16%
3165,Reliance Chemicals Ltd.,201503,Indian Private Sector,1990,0.02,0.02,0.02,-0.02,0.04,0.00,-100%,7.28,0%
3166,Reliance Chemotex Inds. Ltd.,201503,Indian Private Sector,1977,249.30,153.54,75.24,20.52,228.78,95.76,8%,0.04,103%
3167,Reliance Commercial Land & Infrastructure Ltd.,201503,Indian Private Sector,2008,0.10,0.10,0.36,-0.36,0.46,0.00,-360%,,0%
3168,Reliance Communications Ltd.,201503,Indian Private Sector,2004,15131.00,19.00,11397.00,3715.00,11416.00,15112.00,25%,,228%
3169,Reliance Comtrade Pvt. Ltd.,201503,Indian Private Sector,2006,,0.01,,-0.01,0.01,-0.01,,,0%
3170,Reliance Corporate It Park Ltd.,201503,Indian Private Sector,2001,6760.10,-49.84,6758.15,51.79,6708.31,6809.94,1%,49.11,40%
3171,Reliance Defence & Aerospace Pvt. Ltd.,201503,Indian Private Sector,2014,,,,,,,,0,0%
3172,Reliance Defence Systems Pvt. Ltd.,201503,Indian Private Sector,2014,,5.48,,-5.48,5.48,-5.48,,0.02,0%
3173,Reliance Defence Technologies Pvt. Ltd.,201503,Indian Private Sector,2014,,,,,,,,,0%
3174,Reliance Eminent Trdg. & Commecial Pvt. Ltd.,201503,Indian Private Sector,2005,1.11,0.74,7.51,-7.14,8.25,0.37,-643%,99.01,21%
3175,Reliance Energy & Project Devp. Ltd.,201503,Indian Private Sector,1993,0.02,0.02,,0.00,0.02,0.00,0%,,0%
3176,Reliance Energy Generation & Distribution Ltd.,201503,Indian Private Sector,2008,0.02,0.02,0.01,-0.01,0.03,0.00,-50%,19.76,0%
3177,Reliance Gas Pipelines Ltd.,201503,Indian Private Sector,1991,,1.44,0.04,-1.48,1.48,-1.44,,0,0%
3178,Reliance Industrial Infrastructure Ltd.,201503,Indian Private Sector,1988,90.09,1.80,72.74,15.55,74.54,88.29,17%,0.49,105%
3179,Reliance Industrial Investments & Holdings Ltd.,201503,Indian Private Sector,1986,1095.73,1064.17,31.89,-0.33,1096.06,31.56,0%,,97%
3180,Reliance Industries Ltd.,201503,Indian Private Sector,1973,327709.00,269989.00,34581.68,23138.32,304570.68,57720.00,7%,,101%
3181,Reliance Infrastructure Ltd.,201503,Indian Private Sector,1929,11308.78,7104.58,2436.83,1767.37,9541.41,4204.20,16%,57.27,55%
3182,Reliance Jio Infocomm Ltd.,201503,Indian Private Sector,2007,0.07,0.20,22.25,-22.38,22.45,-0.13,-31971%,9.78,21%
3183,Reliance Mediaworks Ltd.,201503,Indian Private Sector,1987,462.81,93.89,721.92,-353.00,815.81,368.92,-76%,55.82,16%
3184,Reliance Payment Solutions Ltd.,201503,Indian Private Sector,2007,,0.86,1.29,-2.15,2.15,-0.86,,0.09,0%
3185,Reliance Petro Mktg. Ltd.,201503,Indian Private Sector,1999,710.62,672.28,49.71,-11.37,721.99,38.34,-2%,,7%
3186,Reliance Petroinvestments Ltd.,201503,Indian Private Sector,1999,0.02,0.02,0.56,-0.56,0.58,0.00,-2800%,,0%
3187,Reliance Polyolefins Ltd.,201503,Indian Private Sector,1992,57.95,56.54,0.05,1.36,56.59,1.41,2%,,0%
3188,Reliance Power Ltd.,201503,Indian Private Sector,1995,215.38,37.80,109.96,67.62,147.76,177.58,31%,0,16%
3189,Reliance Progressive Traders Pvt. Ltd.,201503,Indian Private Sector,2005,-0.37,5.71,20.99,-27.07,26.70,-6.08,7316%,6.97,32%
3190,Reliance Prolific Commercial Pvt. Ltd.,201503,Indian Private Sector,2006,0.00,0.03,,-0.03,0.03,-0.03,,21.84,0%
3191,Reliance Prolific Traders Pvt. Ltd.,201503,Indian Private Sector,1998,-0.04,2.16,4.18,-6.38,6.34,-2.20,15950%,339.16,32%
3192,Reliance Retail Finance Ltd.,201503,Indian Private Sector,2000,0.00,0.00,0.03,-0.03,0.03,0.00,,90.33,0%
3193,Reliance Retail Insurance Broking Ltd.,201503,Indian Private Sector,2006,15.38,0.02,13.11,2.25,13.13,15.36,15%,93.98,0%
3194,Reliance Retail Ltd.,201503,Indian Private Sector,1999,16111.47,12998.27,2586.25,526.95,15584.52,3113.20,3%,,21%
3195,Reliance Retail Ventures Ltd.,201503,Indian Private Sector,2006,,,0.98,-0.98,0.98,,,,0%
3196,Reliance Strategic Investments Ltd.,201503,Indian Private Sector,1999,0.00,,0.75,-0.75,0.75,0.00,,,0%
3197,Reliance Trading Ltd.,201503,Indian Private Sector,2006,50.87,49.07,1.68,0.12,50.75,1.80,0%,,0%
3198,Reliance Universal Commercial Ltd.,201503,Indian Private Sector,1999,0.00,,,0.00,,0.00,,0,0%
3199,Reliance Universal Enterprises Ltd.,201503,Indian Private Sector,2005,0.02,0.02,0.65,-0.65,0.67,0.00,-3250%,22.24,0%
3200,Reliance Universal Traders Pvt. Ltd.,201503,Indian Private Sector,2005,,0.01,1.83,-1.84,1.84,-0.01,,1.38,0%
3201,Reliance Vantage Retail Ltd.,201503,Indian Private Sector,2007,,0.49,2.45,-2.94,2.94,-0.49,,,0%
3202,Reliance Ventures Ltd.,201503,Indian Private Sector,1999,0.00,,0.30,-0.30,0.30,0.00,,,0%
3203,Religare Arts Initiative Ltd.,201503,Indian Private Sector,2007,1.14,0.62,1.02,-0.50,1.64,0.52,-44%,1.38,1%
3204,Religare Capital Markets (India) Ltd.,201503,Indian Private Sector,2011,,,,,,,,,0%
3205,Religare Commodities Ltd.,201503,Indian Private Sector,2003,26.41,0.13,29.82,-3.54,29.95,26.28,-13%,,40%
3206,Religare Commodity Broking Pvt. Ltd.,201503,Indian Private Sector,1992,0.02,,0.02,0.00,0.02,0.02,0%,0.66,0%
3207,Religare Comtrade Ltd.,201503,Indian Private Sector,2010,0.30,0.28,6.03,-6.01,6.31,0.02,-2003%,,580%
3208,Religare Enterprises Ltd.,201503,Indian Private Sector,1984,0.47,0.37,21.58,-21.48,21.95,0.10,-4570%,,877%
3209,Religare Finance Ltd.,201503,Indian Private Sector,2007,0.01,,0.02,-0.01,0.02,0.01,-100%,2.79,0%
3210,Religare Finvest Ltd.,201503,Indian Private Sector,1995,144.72,0.34,393.82,-249.44,394.16,144.38,-172%,,16%
3211,Religare Housing Devp. Finance Corpn. Ltd.,201503,Indian Private Sector,1993,6.47,0.02,14.51,-8.06,14.53,6.45,-125%,0,10%
3212,Religare Invesco Asset Mgmt. Co. Pvt. Ltd.,201503,Indian Private Sector,2005,74.01,0.22,77.33,-3.54,77.55,73.79,-5%,0,69%
3213,Religare Invesco Trustee Co. Pvt. Ltd.,201503,Indian Private Sector,2005,0.35,0.00,0.25,0.10,0.25,0.35,29%,0.55,0%
3214,Religare Securities Ltd.,201503,Indian Private Sector,1986,215.58,0.43,183.79,31.36,184.22,215.15,15%,1.6,24%
3215,Religare Venture Capital Pvt. Ltd.,201503,Indian Private Sector,2006,0.52,0.01,3.83,-3.32,3.84,0.51,-638%,0,12%
3216,Religare Wealth Mgmt. Ltd.,201503,Indian Private Sector,2006,29.75,0.03,33.19,-3.47,33.22,29.72,-12%,26.92,15%
3217,Renaissance Jewellery Ltd.,201503,Indian Private Sector,1989,1076.34,891.77,138.04,46.53,1029.81,184.57,4%,86.84,99%
3218,Repco Home Finance Ltd.,201503,Indian Private Sector,2000,23.09,0.09,74.67,-51.67,74.76,23.00,-224%,0,76%
3219,Repro India Ltd.,201503,Indian Private Sector,1993,403.83,221.73,151.09,31.01,372.82,182.10,8%,0.83,78%
3220,Resinova Chemie Ltd.,201503,Indian Private Sector,1995,203.18,144.11,43.96,15.11,188.07,59.07,7%,4.93,24%
3221,Resins & Plastics Ltd.,201503,Indian Private Sector,1961,115.35,90.19,18.90,6.26,109.09,25.16,5%,1.82,15%
3222,Response Informatics Ltd.,201503,Indian Private Sector,1996,0.98,0.82,0.11,0.05,0.93,0.16,5%,4.64,1%
3223,Responsive Industries Ltd.,201503,Indian Private Sector,1982,1529.28,1264.34,197.05,67.89,1461.39,264.94,4%,0,12%
3224,Restile Ceramics Ltd.,201503,Foreign Private Sector,1986,2.92,2.19,10.33,-9.60,12.52,0.73,-329%,,21%
3225,Retail Initiative Holdings Ltd.,201503,Indian Private Sector,2008,,0.45,0.01,-0.46,0.46,-0.45,,0.19,0%
3226,Rhodia Specialty Chemicals India Ltd.,201503,Foreign Private Sector,1965,279.76,218.45,76.36,-15.05,294.81,61.31,-5%,,30%
3227,Ria Holdings Ltd.,201503,Foreign Private Sector,1992,,,0.01,-0.01,0.01,,,0.45,0%
3228,Rich Universe Network Ltd.,201503,Indian Private Sector,1990,5.03,5.02,0.56,-0.55,5.58,0.01,-11%,0,2%
3229,Richa Industries Ltd.,201503,Indian Private Sector,1993,302.35,206.42,60.53,35.40,266.95,95.93,12%,11.86,49%
3230,Rico Auto Inds. Ltd.,201503,Indian Private Sector,1983,856.49,490.47,399.03,-33.01,889.50,366.02,-4%,0.27,59%
3231,Ricoh India Ltd.,201503,Foreign Private Sector,1993,1663.12,1250.85,284.25,128.02,1535.10,412.27,8%,,9%
3232,Ridhi Synthetics Ltd.,201503,Indian Private Sector,1981,0.00,0.02,0.10,-0.12,0.12,-0.02,,0.05,0%
3233,Riga Sugar Co. Ltd.,201503,Indian Private Sector,1980,185.95,146.96,42.61,-3.62,189.57,38.99,-2%,1.61,37%
3234,Ring Plus Aqua Ltd.,201503,Indian Private Sector,1987,220.20,113.12,109.73,-2.65,222.85,107.08,-1%,0,12%
3235,Risa International Ltd.,201503,Indian Private Sector,1993,176.23,172.04,0.92,3.27,172.96,4.19,2%,0.35,0%
3236,Rishiroop Ltd.,201503,Indian Private Sector,1984,28.61,23.23,4.05,1.33,27.28,5.38,5%,2.19,37%
3237,Rishu Buildtech Pvt. Ltd.,201503,Indian Private Sector,2005,,,,,,,,,0%
3238,Risk Technology Intl. Ltd.,201412,Indian Private Sector,2007,0.00,0.00,0.16,-0.16,0.16,0.00,,0.84,0%
3239,Ritco Travels & Tours Pvt. Ltd.,201503,Indian Private Sector,2010,7.81,0.02,5.92,1.87,5.94,7.79,24%,0.84,60%
3240,Ritesh International Ltd.,201503,Indian Private Sector,1981,28.82,24.11,6.66,-1.95,30.77,4.71,-7%,2.5,20%
3241,Rodium Realty Ltd.,201503,Indian Private Sector,1993,20.79,-22.13,34.03,8.89,11.90,42.92,43%,372.35,3%
3242,Rohini Industrial Electricals Ltd.,201503,Indian Private Sector,1983,53.33,-0.04,74.36,-20.99,74.32,53.37,-39%,,3%
3243,Rolcon Engineering Co. Ltd.,201503,Indian Private Sector,1967,35.14,19.19,15.48,0.47,34.67,15.95,1%,,25%
3244,Rollatainers Ltd.,201406,Indian Private Sector,1968,362.90,338.82,16.43,7.65,355.25,24.08,2%,30.88,5%
3245,Rolta India Ltd.,201503,Indian Private Sector,1989,1873.20,,1130.20,743.00,1130.20,1873.20,40%,1.25,220%
3246,Roots Corporation Ltd.,201503,Indian Private Sector,2003,120.96,2.37,119.73,-1.14,122.10,118.59,-1%,0,260%
3247,Rose Investments Ltd.,201503,Indian Private Sector,1977,,,0.02,-0.02,0.02,,,,0%
3248,Rosekamal Textiles Ltd.,201503,Indian Private Sector,1990,0.02,0.02,0.03,-0.03,0.05,0.00,-150%,10.51,100%
3249,Rossell India Ltd.,201503,Foreign Private Sector,1994,140.96,17.39,115.72,7.85,133.11,123.57,6%,0,16%
3250,Royal Bank Of Scotland N V,201503,Foreign Private Sector,,367.15,,844.17,-477.02,844.17,367.15,-130%,1.43,19%
3251,Royal Cushion Vinyl Products Ltd.,201503,Indian Private Sector,1983,75.34,64.66,22.66,-11.98,87.32,10.68,-16%,0,28%
3252,Royale Manor Hotels & Inds. Ltd.,201503,Indian Private Sector,1991,24.25,0.69,20.19,3.37,20.88,23.56,14%,0,16%
3253,Ruchi Infrastructure Ltd.,201503,Indian Private Sector,1984,1076.19,1012.80,60.92,2.47,1073.72,63.39,0%,,42%
3254,Ruchi J-Oil Pvt. Ltd.,201503,Indian Private Sector,2013,12.00,2.64,16.07,-6.71,18.71,9.36,-56%,,340%
3255,Ruchi Soya Inds. Ltd.,201503,Indian Private Sector,1986,27936.53,26123.87,1853.10,-40.44,27976.97,1812.66,0%,,28%
3256,Ruchi Strips & Alloys Ltd.,201503,Indian Private Sector,1987,226.76,226.02,0.59,0.15,226.61,0.74,0%,0,0%
3257,Ruchi Worldwide Ltd.,201503,Indian Private Sector,1996,2411.92,2276.32,90.95,44.65,2367.27,135.60,2%,21.47,63%
3258,Ruchira Papers Ltd.,201503,Indian Private Sector,1980,346.22,197.71,118.89,29.62,316.60,148.51,9%,29.28,45%
3259,Rupa & Co. Ltd.,201503,Indian Private Sector,1985,1048.44,467.98,457.66,122.80,925.64,580.46,12%,,48%
3260,Rural Electrification Corpn. Ltd.,201503,Central Government,1969,79.02,4.91,1373.47,-1299.36,1378.38,74.11,-1644%,,16%
3261,Rushil Decor Ltd.,201503,Indian Private Sector,1993,276.55,181.31,72.93,22.31,254.24,95.24,8%,215.95,93%
3262,Russell Credit Ltd.,201503,Foreign Private Sector,1994,14.15,0.01,3.35,10.79,3.36,14.14,76%,353.56,12%
3263,Ruttonsha International Rectifier Ltd.,201503,Foreign Private Sector,1969,28.02,19.50,7.10,1.42,26.60,8.52,5%,0.9,56%
3264,Rydak Syndicate Ltd.,201503,Indian Private Sector,1900,87.75,13.57,67.93,6.25,81.50,74.18,7%,0,45%
3265,S A L Steel Ltd.,201503,Indian Private Sector,2003,363.68,278.94,67.27,17.47,346.21,84.74,5%,0.42,42%
3266,S B E C Sugar Ltd.,201503,Indian Private Sector,1991,425.80,423.67,27.14,-25.01,450.81,2.13,-6%,,14%
3267,S B E C Systems (India) Ltd.,201503,Indian Private Sector,1987,0.10,,0.45,-0.35,0.45,0.10,-350%,,0%
3268,S B E R Bank,201503,Foreign Private Sector,,6.24,,21.25,-15.01,21.25,6.24,-241%,,19%
3269,S C I L Ventures Ltd.,201503,Indian Private Sector,1994,0.00,0.00,0.92,-0.92,0.92,0.00,,4.18,0%
3270,S C M Invst. & Trdg. Co. Ltd.,201503,Indian Private Sector,1992,,,0.03,-0.03,0.03,,,2.57,0%
3271,S D Buildwell Pvt. Ltd.,201503,Indian Private Sector,2008,0.00,,0.16,-0.16,0.16,0.00,,,0%
3272,S E Investments Ltd.,201503,Indian Private Sector,1992,0.00,,59.02,-59.02,59.02,0.00,,0.05,0%
3273,S E L Manufacturing Co. Ltd.,201503,Indian Private Sector,2000,2443.04,1622.50,710.46,110.08,2332.96,820.54,5%,,16%
3274,S E Power Ltd.,201503,Indian Private Sector,2010,5.52,2.26,6.33,-3.07,8.59,3.26,-56%,,21%
3275,S E R Industries Ltd.,201503,Indian Private Sector,1963,0.10,0.00,0.34,-0.24,0.34,0.10,-240%,,230%
3276,S E Z Adityapur Ltd.,201503,Indian Private Sector,2006,,,0.01,-0.01,0.01,,,0,0%
3277,S F S L Commodity Trdg. Pvt. Ltd.,201503,Indian Private Sector,1996,0.00,,0.08,-0.08,0.08,0.00,,,0%
3278,S I Capital & Financial Services Ltd.,201503,Indian Private Sector,1994,0.06,,0.27,-0.21,0.27,0.06,-350%,,21%
3279,S I L Investments Ltd.,201503,Indian Private Sector,1934,0.00,,1.40,-1.40,1.40,0.00,,,0%
3280,S I L Properties Ltd.,201503,Indian Private Sector,1995,0.00,,0.79,-0.79,0.79,0.00,,,0%
3281,S I P Industries Ltd.,201409,Indian Private Sector,1986,,,0.48,-0.48,0.48,,,,0%
3282,S J V N Ltd.,201503,Central Government,1988,2831.42,0.02,1157.18,1674.22,1157.20,2831.40,59%,133.2,320%
3283,S J V N Thermal Pvt. Ltd.,201503,Central Government,2007,,,0.01,-0.01,0.01,,,0.94,0%
3284,S K F India Ltd.,201412,Foreign Private Sector,1961,2422.61,1584.11,602.25,236.25,2186.36,838.50,10%,977.89,26%
3285,S K M Egg Products Export (India) Ltd.,201503,Indian Private Sector,1995,286.74,190.96,58.18,37.60,249.14,95.78,13%,0.5,16%
3286,S K P Securities Ltd.,201503,Indian Private Sector,1990,9.58,0.31,6.08,3.19,6.39,9.27,33%,,8%
3287,S K S Microfinance Ltd.,201503,Foreign Private Sector,2003,343.40,0.42,507.68,-164.70,508.10,342.98,-48%,2.35,3%
3288,S M C Global Securities Ltd.,201503,Indian Private Sector,1994,128.37,0.17,95.23,32.97,95.40,128.20,26%,,49%
3289,S M I F S Capital Markets Ltd.,201503,Indian Private Sector,1983,4.79,1.59,3.97,-0.77,5.56,3.20,-16%,11.22,50%
3290,S M I F S Capital Services Ltd.,201503,Indian Private Sector,2000,0.08,,0.18,-0.10,0.18,0.08,-125%,0,38%
3291,S M L Isuzu Ltd.,201503,Joint Sector,1983,1099.16,804.23,243.75,51.18,1047.98,294.93,5%,,25%
3292,S M S Pharmaceuticals Ltd.,201503,Indian Private Sector,1987,579.45,389.16,120.41,69.88,509.57,190.29,12%,0.07,79%
3293,S Mobile Devices Ltd.,201406,Indian Private Sector,2012,,,0.00,0.00,0.00,,,,0%
3294,S N L Bearings Ltd.,201503,Indian Private Sector,1979,26.57,9.67,9.78,7.12,19.45,16.90,27%,,37%
3295,S N S Textiles Ltd.,201503,Indian Private Sector,1992,1.13,0.27,1.02,-0.16,1.29,0.86,-14%,,16%
3296,S P Capital Financing Ltd.,201503,Indian Private Sector,1983,,,0.16,-0.16,0.16,,,0,0%
3297,S P L Industries Ltd. (Delhi),201503,Indian Private Sector,1991,59.61,21.45,37.99,0.17,59.44,38.16,0%,,58%
3298,S Q S India B F S I Ltd.,201503,Indian Private Sector,1998,214.16,0.85,185.29,28.02,186.14,213.31,13%,0.08,105%
3299,S R E I Alternative Invst. Managers Ltd.,201503,Indian Private Sector,1994,22.95,0.04,21.88,1.03,21.92,22.91,4%,0.24,0%
3300,S R E I Capital Markets Ltd.,201503,Indian Private Sector,1998,4.18,0.09,4.01,0.08,4.10,4.09,2%,,0%
3301,S R E I Forex Ltd.,201503,Indian Private Sector,2001,,,,,,,,0,0%
3302,S R E I Infrastructure Advisors Ltd.,201503,Indian Private Sector,2001,0.02,,0.00,0.02,0.00,0.02,100%,,0%
3303,S R E I Infrastructure Finance Ltd.,201503,Indian Private Sector,1985,218.63,0.73,254.87,-36.97,255.60,217.90,-17%,2.97,298%
3304,S R E I Mutual Fund Asset Mgmt. Pvt. Ltd.,201503,Indian Private Sector,2009,0.05,0.37,2.20,-2.52,2.57,-0.32,-5040%,,260%
3305,S R F Energy Ltd.,201503,Indian Private Sector,2007,,,0.00,0.00,0.00,,,,0%
3306,S R F Fluorochemicals Ltd.,201503,Indian Private Sector,2007,,,0.00,0.00,0.00,,,,0%
3307,S R F Holiday Home Ltd.,201503,Indian Private Sector,2006,,,,,,,,,0%
3308,S R F Ltd.,201503,Indian Private Sector,1970,3624.36,1980.76,1187.23,456.37,3167.99,1643.60,13%,,16%
3309,S R G Housing Finance Ltd.,201503,Indian Private Sector,1999,0.00,,2.30,-2.30,2.30,0.00,,31.17,0%
3310,S R G Securities Finance Ltd.,201503,Indian Private Sector,1995,0.00,,0.85,-0.85,0.85,0.00,,28.59,0%
3311,S R K Industries Ltd.,201503,Indian Private Sector,1991,3.15,3.00,0.22,-0.07,3.22,0.15,-2%,71.7,678%
3312,S R S Automotive Components Pvt. Ltd.,201503,Indian Private Sector,1993,0.00,,0.18,-0.18,0.18,0.00,,,0%
3313,S R S Finance Ltd.,201503,Indian Private Sector,1994,,0.01,2.42,-2.43,2.43,-0.01,,0,0%
3314,S R S Freight Mgmt. Ltd.,201503,Foreign Private Sector,1980,24.00,,22.85,1.15,22.85,24.00,5%,,4%
3315,S R S Ltd.,201503,Indian Private Sector,2000,3847.46,3547.11,180.63,119.72,3727.74,300.35,3%,,21%
3316,S R S Mines Overseas Ltd.,201503,Indian Private Sector,2013,,0.02,0.02,-0.04,0.04,-0.02,,7.47,0%
3317,S R S Natural Resources Ltd.,201503,Indian Private Sector,2013,,0.13,0.64,-0.77,0.77,-0.13,,,0%
3318,S R S Real Estate Ltd.,201503,Indian Private Sector,2005,140.91,-14.47,132.55,22.83,118.08,155.38,16%,0,7%
3319,S R S Real Infrastructure Ltd.,201503,Indian Private Sector,1990,838.19,754.84,46.08,37.27,800.92,83.35,4%,,4%
3320,S R S Retreat Services Ltd.,201503,Indian Private Sector,2005,0.02,-15.15,14.91,0.26,-0.24,15.17,1300%,16.38,21%
3321,S S P D L Ltd.,201503,Indian Private Sector,1994,149.35,9.71,134.78,4.86,144.49,139.64,3%,42.03,0%
3322,S T G Lifecare Ltd.,201406,Indian Private Sector,1992,0.11,0.22,1.11,-1.22,1.33,-0.11,-1109%,,773%
3323,S T I India Ltd.,201503,Indian Private Sector,1984,60.52,13.59,52.31,-5.38,65.90,46.93,-9%,,16%
3324,S U Toll Road Pvt. Ltd.,201503,Indian Private Sector,2007,113.19,,30.48,82.71,30.48,113.19,73%,2.45,947%
3325,S V Global Mill Ltd.,201503,Indian Private Sector,2007,-0.08,0.14,2.25,-2.47,2.39,-0.22,3088%,702.86,29%
3326,S V Trading & Agencies Ltd.,201503,Indian Private Sector,1990,1.54,1.54,0.09,-0.09,1.63,0.00,-6%,,1%
3327,S W A L Corporation Ltd.,201503,Indian Private Sector,1979,591.23,399.71,167.11,24.41,566.82,191.52,4%,43.64,45%
3328,Sadbhav Engineering Ltd.,201503,Indian Private Sector,1988,2969.85,827.10,1911.49,231.26,2738.59,2142.75,8%,1148.91,18%
3329,Sadhana Nitro Chem Ltd.,201503,Indian Private Sector,1973,61.30,35.73,18.01,7.56,53.74,25.57,12%,,98%
3330,Sae Transmission India Ltd.,201409,Indian Private Sector,2009,0.04,,0.03,0.01,0.03,0.04,25%,,0%
3331,Safari Industries (India) Ltd.,201503,Indian Private Sector,1980,216.25,127.37,80.00,8.88,207.37,88.88,4%,,21%
3332,Safari Lifestyles Ltd.,201503,Indian Private Sector,2014,,,0.01,-0.01,0.01,,,,0%
3333,Sagar Cements Ltd.,201503,Indian Private Sector,1981,578.58,100.48,439.80,38.30,540.28,478.10,7%,,92%
3334,Sagar Soya Products Ltd.,201503,Indian Private Sector,1982,0.64,0.10,0.70,-0.16,0.80,0.54,-25%,,383%
3335,Sahara Housingfina Corpn. Ltd.,201503,Indian Private Sector,1991,0.29,0.01,5.46,-5.18,5.47,0.28,-1786%,23.28,210%
3336,Sahyadri Industries Ltd.,201503,Indian Private Sector,1994,420.86,254.63,142.14,24.09,396.77,166.23,6%,108.36,66%
3337,Sail Jagadishpur Power Plant Ltd.,201503,Central Government,2011,,,,,,,,,0%
3338,Sail Refractory Co. Ltd.,201503,Central Government,2011,133.42,40.70,63.97,28.75,104.67,92.72,22%,,30%
3339,Sail Sindri Projects Ltd.,201503,Central Government,2011,,,0.00,0.00,0.00,,,,0%
3340,Sainik Finance & Inds. Ltd.,201503,Indian Private Sector,1991,0.28,0.03,1.09,-0.84,1.12,0.25,-300%,,314%
3341,Saint-Gobain Sekurit India Ltd.,201503,Foreign Private Sector,1975,132.88,65.91,59.31,7.66,125.22,66.97,6%,2.35,48%
3342,Saksoft Ltd.,201503,Indian Private Sector,1999,47.30,0.09,36.20,11.01,36.29,47.21,23%,81.23,80%
3343,Sakthi Finance Ltd.,201503,Indian Private Sector,1955,142.02,0.72,36.77,104.53,37.49,141.30,74%,58.94,27%
3344,Sakthi Sugars Ltd.,201503,Indian Private Sector,1961,837.85,521.30,266.87,49.68,788.17,316.55,6%,0.6,87%
3345,Sakuma Exports Ltd.,201503,Indian Private Sector,2005,1047.82,967.04,81.53,-0.75,1048.57,80.78,0%,0.01,49%
3346,Salora Components Ltd.,201503,Indian Private Sector,2006,4.61,3.66,1.49,-0.54,5.15,0.95,-12%,,53%
3347,Salora International Ltd.,201503,Indian Private Sector,1968,295.36,260.82,28.82,5.72,289.64,34.54,2%,53.94,23%
3348,Salzer Electronics Ltd.,201503,Indian Private Sector,1985,283.55,198.80,56.08,28.67,254.88,84.75,10%,843.36,51%
3349,Sambandam Spinning Mills Ltd.,201503,Indian Private Sector,1974,242.43,149.42,75.72,17.29,225.14,93.01,7%,10.26,51%
3350,Sambhaav Media Ltd.,201503,Indian Private Sector,1990,23.36,2.79,15.78,4.79,18.57,20.57,21%,5.79,16%
3351,Samrat Pharmachem Ltd.,201503,Indian Private Sector,1992,47.40,42.71,3.74,0.95,46.45,4.69,2%,,35%
3352,Samruddhi Swastik Trdg. & Invsts. Ltd.,201503,Indian Private Sector,1994,0.00,,0.43,-0.43,0.43,0.00,,,0%
3353,Samudra Healthcare Enterprises Ltd.,201503,Indian Private Sector,2003,37.04,0.08,38.04,-1.08,38.12,36.96,-3%,,39%
3354,Sanblue Corporation Ltd.,201503,Indian Private Sector,1993,0.05,,2.76,-2.71,2.76,0.05,-5420%,264.7,21%
3355,Sancia Global Infraprojects Ltd.,201503,Indian Private Sector,1991,2.06,0.00,6.21,-4.15,6.21,2.06,-201%,,375%
3356,Sanco Trans Ltd.,201503,Indian Private Sector,1979,75.46,0.13,80.59,-5.26,80.72,75.33,-7%,,81%
3357,Sandesh Ltd.,201503,Indian Private Sector,1943,313.37,159.70,96.46,57.21,256.16,153.67,18%,0,36%
3358,Sandur Manganese & Iron Ores Ltd.,201503,Indian Private Sector,1954,310.32,56.00,230.98,23.34,286.98,254.32,8%,,26%
3359,Sangam (India) Ltd.,201503,Indian Private Sector,1984,1469.95,895.63,444.56,129.76,1340.19,574.32,9%,0.33,64%
3360,Sangameshwar Coffee Estates Ltd.,201503,Indian Private Sector,1970,14.64,7.67,10.71,-3.74,18.38,6.97,-26%,,68%
3361,Sanghi Corporate Services Ltd.,201503,Indian Private Sector,1989,,,0.09,-0.09,0.09,,,0,0%
3362,Sanghi Industries Ltd.,201406,Indian Private Sector,1985,1195.75,294.34,849.19,52.22,1143.53,901.41,4%,0.83,16%
3363,Sanghvi Forging & Engg. Ltd.,201503,Indian Private Sector,1989,89.49,46.99,34.84,7.66,81.83,42.50,9%,,16%
